subj,ROI,R2,curvPref
1,V1,0.126701286186125,7
1,V1,0.00795425499859614,6
1,V1,0.0724452512399266,6
1,V1,0.0560963226955619,6
1,V1,0.0384131693038193,6
1,V1,0.00213540544412799,8
1,V1,0.0047656356816434,3
1,V1,0.00116056734608622,7
1,V1,0.00054807790250222,6
1,V1,0.100159418956635,2
1,V1,0.128874090636255,7
1,V1,0.0282922862560772,6
1,V1,0.176311168997463,2
1,V1,0.0284001955212673,6
1,V1,0.0336699278230968,7
1,V1,0.0547405401703736,6
1,V1,0.024965961065541,6
1,V1,0.0155261363507954,7
1,V1,0.00938566308060806,7
1,V1,0.0798334122450615,7
1,V1,0.0440556283792664,6
1,V1,0.0152993487018794,7
1,V1,0.0332280253198953,6
1,V1,0.0147320895353425,2
1,V1,-9.01168830514942e-05,7
1,V1,0.018561835329311,7
1,V1,0.00549755277125863,7
1,V1,0.136867814681649,6
1,V1,0.0200338658398855,5
1,V1,0.000167490067359222,7
1,V1,0.024977881112332,7
1,V1,0.0155431871471572,6
1,V1,0.125951272603019,7
1,V1,0.148434765216845,2
1,V1,0.114608089845229,7
1,V1,0.116559538805999,2
1,V1,0.0111905214477331,8
1,V1,0.192905687804298,6
1,V1,0.156630378941641,2
1,V1,0.0293559225913314,6
1,V1,0.159294300150197,6
1,V1,-0.000343667871162467,2
1,V1,-0.00129200942055929,6
1,V1,0.129625695066354,7
1,V1,0.0784146018908404,2
1,V1,0.0827529761478136,2
1,V1,0.0543071899958943,2
1,V1,0.0241181739042159,7
1,V1,0.06177808497677,2
1,V1,0.0631319592670563,2
1,V1,0.0572015439755556,2
1,V1,0.0178533439710442,6
1,V1,0.196750981896588,7
1,V1,0.196395787433093,6
1,V1,0.0094628754533016,6
1,V1,0.219605174513908,6
1,V1,0.077915545854926,7
1,V1,0.031170986415377,2
1,V1,0.0341489766552849,2
1,V1,0.038506902168064,6
1,V1,0.197630202390263,7
1,V1,0.230371487057802,6
1,V1,0.0305675901544212,6
1,V1,0.00293480947259372,4
1,V1,0.00763141695991898,6
1,V1,0.000173016602547871,6
1,V1,0.223067245737703,6
1,V1,0.188391745213362,2
1,V1,0.0421632822955672,2
1,V1,0.0030873576556763,7
1,V1,0.0618219517572637,5
1,V1,0.0529019909199871,7
1,V1,0.140141891306226,7
1,V1,0.216775797514417,6
1,V1,0.176561030415392,6
1,V1,0.0542900662380938,6
1,V1,0.0103172399896598,8
1,V1,0.0719203920905844,6
1,V1,0.0587765959036823,6
1,V1,0.0547034416012356,6
